iterationName	gameid	time	context	occlusions	numObjsOccluded	numDistractors	names	gridXs	gridYs	intendedName	clickedName	trialNum	correct	condition	eventType
pilot0	7992-63fb7286-7ef0-456a-8bfa-e2f96ef59e9b	1521506539005	close	none	0	4	[spotted_green_triangle,wavy_black_square,spotted_red_star,wavy_red_triangle,spotted_black_star]	[1,2,3,1,1]	[1,1,3,3,2]	spotted_black_star	spotted_black_star	1	true	within	clickedObj
pilot0	7992-63fb7286-7ef0-456a-8bfa-e2f96ef59e9b	1521506562044	close	irrelevant	1	4	[checked_blue_star,striped_blue_square,spotted_green_circle,checked_red_triangle,striped_red_star]	[3,3,2,1,3]	[1,2,1,2,3]	striped_red_star	striped_red_star	2	true	within	clickedObj
pilot0	7992-63fb7286-7ef0-456a-8bfa-e2f96ef59e9b	1521506592909	far	irrelevant	1	4	[spotted_red_star,wavy_black_triangle,wavy_green_triangle,checked_red_triangle,checked_black_square]	[1,3,3,3,2]	[2,1,3,2,1]	checked_black_square	checked_black_square	3	true	within	clickedObj
pilot0	7992-63fb7286-7ef0-456a-8bfa-e2f96ef59e9b	1521506611709	close	critical	1	2	[striped_black_star,spotted_black_square,striped_red_square]	[2,1,3]	[3,3,2]	striped_red_square	striped_red_square	4	true	within	clickedObj
pilot0	7992-63fb7286-7ef0-456a-8bfa-e2f96ef59e9b	1521506628916	far	irrelevant	2	3	[striped_red_star,wavy_red_triangle,striped_red_circle,wavy_green_square]	[3,3,3,2]	[1,2,3,3]	wavy_green_square	wavy_green_square	5	true	within	clickedObj
pilot0	7992-63fb7286-7ef0-456a-8bfa-e2f96ef59e9b	1521506650292	far	irrelevant	2	4	[spotted_red_triangle,wavy_black_square,striped_black_star,striped_red_square,spotted_red_circle]	[3,1,3,2,3]	[2,3,1,3,3]	spotted_red_circle	spotted_red_circle	6	true	within	clickedObj
pilot0	7992-63fb7286-7ef0-456a-8bfa-e2f96ef59e9b	1521506667804	close	critical	1	2	[spotted_black_star,checked_green_triangle,checked_red_star]	[1,1,3]	[1,2,2]	checked_red_star	checked_red_star	7	true	within	clickedObj
pilot0	7992-63fb7286-7ef0-456a-8bfa-e2f96ef59e9b	1521506681025	far	irrelevant	2	3	[wavy_green_triangle,striped_black_square,striped_green_triangle,checked_green_circle]	[3,1,3,1]	[1,1,2,2]	checked_green_circle	checked_green_circle	8	true	within	clickedObj
pilot0	7992-63fb7286-7ef0-456a-8bfa-e2f96ef59e9b	1521506696796	far	none	0	2	[checked_black_circle,striped_green_circle,striped_black_star]	[3,1,3]	[1,3,3]	striped_black_star	striped_black_star	9	true	within	clickedObj
pilot0	7992-63fb7286-7ef0-456a-8bfa-e2f96ef59e9b	1521506708829	close	none	0	2	[checked_blue_square,wavy_red_circle,spotted_blue_square]	[3,1,2]	[1,3,1]	spotted_blue_square	spotted_blue_square	10	true	within	clickedObj
pilot0	7992-63fb7286-7ef0-456a-8bfa-e2f96ef59e9b	1521506722132	close	irrelevant	1	4	[striped_black_square,striped_blue_star,spotted_red_square,checked_blue_triangle,striped_red_star]	[3,2,2,3,3]	[3,1,3,2,1]	striped_red_star	striped_red_star	11	true	within	clickedObj
pilot0	7992-63fb7286-7ef0-456a-8bfa-e2f96ef59e9b	1521506731285	far	none	0	3	[wavy_black_triangle,checked_blue_star,checked_blue_square,wavy_blue_circle]	[2,2,1,3]	[3,1,3,2]	wavy_blue_circle	wavy_blue_circle	12	true	within	clickedObj
pilot0	7992-63fb7286-7ef0-456a-8bfa-e2f96ef59e9b	1521506742949	far	irrelevant	1	3	[checked_red_triangle,checked_black_circle,spotted_blue_circle,striped_blue_star]	[1,1,2,2]	[2,1,3,1]	striped_blue_star	striped_blue_star	13	true	within	clickedObj
pilot0	7992-63fb7286-7ef0-456a-8bfa-e2f96ef59e9b	1521506756356	close	irrelevant	1	2	[checked_black_square,checked_green_star,spotted_green_star]	[3,1,1]	[3,1,3]	spotted_green_star	spotted_green_star	14	true	within	clickedObj
pilot0	7992-63fb7286-7ef0-456a-8bfa-e2f96ef59e9b	1521506765773	far	none	0	2	[checked_green_star,spotted_green_circle,spotted_red_triangle]	[1,3,3]	[1,2,3]	spotted_red_triangle	spotted_red_triangle	15	true	within	clickedObj
pilot0	7992-63fb7286-7ef0-456a-8bfa-e2f96ef59e9b	1521506788401	close	critical	1	2	[striped_blue_square,wavy_blue_triangle,wavy_green_triangle]	[2,1,2]	[1,3,3]	wavy_green_triangle	wavy_green_triangle	16	true	within	clickedObj
pilot0	7992-63fb7286-7ef0-456a-8bfa-e2f96ef59e9b	1521506804309	close	none	0	3	[checked_blue_star,spotted_green_circle,wavy_red_triangle,spotted_green_star]	[1,2,1,2]	[3,1,1,3]	spotted_green_star	spotted_green_star	17	true	within	clickedObj
pilot0	7992-63fb7286-7ef0-456a-8bfa-e2f96ef59e9b	1521506819395	far	none	0	4	[checked_black_square,spotted_green_star,striped_black_star,wavy_black_star,spotted_black_triangle]	[1,3,1,3,2]	[3,2,1,3,3]	spotted_black_triangle	spotted_black_triangle	18	true	within	clickedObj
pilot0	7992-63fb7286-7ef0-456a-8bfa-e2f96ef59e9b	1521506831736	far	irrelevant	1	2	[checked_blue_star,spotted_green_star,checked_green_square]	[3,2,3]	[3,3,1]	checked_green_square	checked_green_square	19	true	within	clickedObj
pilot0	7992-63fb7286-7ef0-456a-8bfa-e2f96ef59e9b	1521506841716	close	none	0	2	[striped_black_square,striped_red_circle,striped_green_circle]	[1,3,3]	[1,3,2]	striped_green_circle	striped_green_circle	20	true	within	clickedObj
pilot0	7992-63fb7286-7ef0-456a-8bfa-e2f96ef59e9b	1521506852770	far	none	0	4	[spotted_red_triangle,striped_green_circle,spotted_red_circle,spotted_black_triangle,checked_red_square]	[3,2,2,1,3]	[1,3,1,2,3]	checked_red_square	checked_red_square	21	true	within	clickedObj
pilot0	7992-63fb7286-7ef0-456a-8bfa-e2f96ef59e9b	1521506861060	far	none	0	3	[checked_blue_square,wavy_green_square,spotted_red_circle,checked_blue_star]	[1,3,2,2]	[2,2,1,3]	checked_blue_star	checked_blue_star	22	true	within	clickedObj
pilot0	7992-63fb7286-7ef0-456a-8bfa-e2f96ef59e9b	1521506874605	close	none	0	4	[checked_red_square,checked_green_star,spotted_red_circle,wavy_black_triangle,spotted_blue_triangle]	[1,1,2,1,3]	[3,1,3,2,3]	spotted_blue_triangle	spotted_blue_triangle	23	true	within	clickedObj
pilot0	7992-63fb7286-7ef0-456a-8bfa-e2f96ef59e9b	1521506885633	close	none	0	2	[wavy_green_circle,striped_red_triangle,checked_green_triangle]	[1,1,1]	[1,3,2]	checked_green_triangle	checked_green_triangle	24	true	within	clickedObj
