iterationName	gameid	serverTime	condition	trialNum	instructionNum	targetObject	attemptNum	trialType	objectSet	critical	targetDistance	distractorDistance	localTime	rawMouseX	rawMouseY	eventType
pilot1	2044-630fa692-d0d4-4e6f-b98d-f0495dac9d02	1522694524918	unscripted	1	0	magnet	0	base	7	false	418	none	1522694524907	1202	1210	updateMouse
pilot1	2044-630fa692-d0d4-4e6f-b98d-f0495dac9d02	1522694524936	unscripted	1	0	magnet	0	base	7	false	391	none	1522694524925	1194	1241	updateMouse
pilot1	2044-630fa692-d0d4-4e6f-b98d-f0495dac9d02	1522694524953	unscripted	1	0	magnet	0	base	7	false	327	none	1522694524942	1162	1304	updateMouse
pilot1	2044-630fa692-d0d4-4e6f-b98d-f0495dac9d02	1522694524970	unscripted	1	0	magnet	0	base	7	false	248	none	1522694524958	1115	1376	updateMouse
pilot1	2044-630fa692-d0d4-4e6f-b98d-f0495dac9d02	1522694524984	unscripted	1	0	magnet	0	base	7	false	174	none	1522694524974	1067	1451	updateMouse
pilot1	2044-630fa692-d0d4-4e6f-b98d-f0495dac9d02	1522694525001	unscripted	1	0	magnet	0	base	7	false	136	none	1522694524992	1036	1490	updateMouse
pilot1	2044-630fa692-d0d4-4e6f-b98d-f0495dac9d02	1522694525017	unscripted	1	0	magnet	0	base	7	false	117	none	1522694525008	1016	1518	updateMouse
pilot1	2044-630fa692-d0d4-4e6f-b98d-f0495dac9d02	1522694525035	unscripted	1	0	magnet	0	base	7	false	104	none	1522694525025	996	1542	updateMouse
pilot1	2044-630fa692-d0d4-4e6f-b98d-f0495dac9d02	1522694525053	unscripted	1	0	magnet	0	base	7	false	97	none	1522694525042	984	1550	updateMouse
pilot1	2044-630fa692-d0d4-4e6f-b98d-f0495dac9d02	1522694525069	unscripted	1	0	magnet	0	base	7	false	94	none	1522694525059	977	1554	updateMouse
pilot1	2044-630fa692-d0d4-4e6f-b98d-f0495dac9d02	1522694525087	unscripted	1	0	magnet	0	base	7	false	87	none	1522694525075	969	1554	updateMouse
pilot1	2044-630fa692-d0d4-4e6f-b98d-f0495dac9d02	1522694525101	unscripted	1	0	magnet	0	base	7	false	75	none	1522694525092	953	1554	updateMouse
pilot1	2044-630fa692-d0d4-4e6f-b98d-f0495dac9d02	1522694525120	unscripted	1	0	magnet	0	base	7	false	36	none	1522694525108	913	1534	updateMouse
pilot1	2044-630fa692-d0d4-4e6f-b98d-f0495dac9d02	1522694525139	unscripted	1	0	magnet	0	base	7	false	17	none	1522694525126	890	1514	updateMouse
pilot1	2044-630fa692-d0d4-4e6f-b98d-f0495dac9d02	1522694525151	unscripted	1	0	magnet	0	base	7	false	26	none	1522694525141	874	1502	updateMouse
pilot1	2044-630fa692-d0d4-4e6f-b98d-f0495dac9d02	1522694525167	unscripted	1	0	magnet	0	base	7	false	44	none	1522694525158	858	1486	updateMouse
pilot1	2044-630fa692-d0d4-4e6f-b98d-f0495dac9d02	1522694525188	unscripted	1	0	magnet	0	base	7	false	54	none	1522694525175	850	1478	updateMouse
pilot1	2044-630fa692-d0d4-4e6f-b98d-f0495dac9d02	1522694525204	unscripted	1	0	magnet	0	base	7	false	64	none	1522694525192	842	1471	updateMouse
pilot1	2044-630fa692-d0d4-4e6f-b98d-f0495dac9d02	1522694525217	unscripted	1	0	magnet	0	base	7	false	66	none	1522694525208	842	1467	updateMouse
pilot1	2044-630fa692-d0d4-4e6f-b98d-f0495dac9d02	1522694525234	unscripted	1	0	magnet	0	base	7	false	68	none	1522694525225	842	1463	updateMouse
pilot1	2044-630fa692-d0d4-4e6f-b98d-f0495dac9d02	1522694525250	unscripted	1	0	magnet	0	base	7	false	74	none	1522694525241	838	1459	updateMouse
