gameid, time, condition, critical, objectSet, instructionNum, attemptNum, sender, contents
4726-4,1453330307193,exp,0,4,0,0,director,"Move the carrot up one spot"
4726-4,1453330333080,exp,1,4,1,0,director,"Move the measuring cup down one spot into the black space"
4726-4,1453330361601,exp,0,4,2,0,director,"Move the water bottle to the right one space into the black"
4726-4,1453330383358,exp,0,4,3,0,director,"Move the chair to the left one space into the black"
4726-4,1453330425013,base,0,7,0,0,director,"Move the magnet (horseshoe) down one "
4726-4,1453330442269,base,0,7,1,0,director,"Move the handcuffs down one"
4726-4,1453330458669,base,0,7,2,0,director,"Move the Panda teddy bear down one into the black"
4726-4,1453330479961,base,1,7,3,0,director,"Move the candle down one"
4726-4,1453330494595,exp,0,6,0,0,director,"Move the banana up one"
4726-4,1453330511269,exp,0,6,1,0,director,"Move the dollar bill to the right "
4726-4,1453330528964,exp,1,6,2,0,director,"Move the eraser up one"
4726-4,1453330557099,exp,0,6,3,0,director,"Move the feather to the left one"
4726-4,1453330585465,base,0,3,0,0,director,"Great job so far!  Move the scissors to the right one into the black space"
4726-4,1453330601153,base,0,3,1,0,director,"Move the knife down one"
4726-4,1453330614038,base,0,3,2,0,director,"Move the soap to the left one"
4726-4,1453330630793,base,1,3,3,0,director,"Move the cassette tape down one into the black space"
4726-4,1453330644835,base,0,8,0,0,director,"Move the comb up one"
4726-4,1453330666008,base,1,8,1,0,director,"Move the mouse up one"
4726-4,1453330685165,base,0,8,2,0,director,"Move the pan up one"
4726-4,1453330698681,base,0,8,3,0,director,"Move the piano to the left one"
4726-4,1453330718382,exp,0,5,0,0,director,"Move the basketball down one into the black"
4726-4,1453330734693,exp,1,5,1,0,director,"Move the hair brush to the left one"
4726-4,1453330753165,exp,0,5,2,0,director,"Move the headphones to the left one"
4726-4,1453330764768,exp,0,5,3,0,director,"Move the book to the right one"
4726-4,1453330783448,exp,0,2,0,0,director,"Move the binoculars to the right one"
4726-4,1453330802561,exp,0,2,1,0,director,"Move the wrench to the left one"
4726-4,1453330815053,exp,1,2,2,0,director,"Move the B block to the left one"
4726-4,1453330832131,exp,0,2,3,0,director,"Move the coffee mug to the right one into the black"
4726-4,1453330852752,base,0,1,0,0,director,"Move the airplane to the right one"
4726-4,1453330883146,base,1,1,1,0,director,"Move the sunglasses to the right one into the black"
4726-4,1453330901640,base,0,1,2,0,director,"Move the barrel down one"
4726-4,1453330921549,base,0,1,3,0,director,"Move the saxophone up one "
