workerid,OS,screenH,screenW,Browser
0,Windows,1080,1920,Chrome
1,Mac,900,1440,Firefox
2,Windows,900,1600,Chrome
3,Windows,768,1366,Chrome
4,Windows,768,1366,Chrome
5,Windows,1080,1920,Chrome
6,Mac,1200,1920,Chrome
7,Windows,768,1366,Firefox
8,Windows,1200,1920,Chrome
9,Windows,1050,1680,Chrome
10,Windows,768,1366,Chrome
11,Windows,1080,1920,Chrome
12,Linux,1050,1680,Firefox
13,Mac,800,1280,Firefox
14,Windows,1080,1920,Firefox
15,Windows,768,1366,Chrome
16,Windows,900,1600,Firefox
17,Windows,1080,1920,Chrome
18,Windows,1080,1920,Chrome
19,Windows,1080,1920,Chrome
